Report Name,Validation Report for Planning BOM Maintenance Application UI
Report Time,6/23/2026, 07:25:11 CST
Trnx Type,ONETIME,Run By,APPL_TEAM

Summary,BOM_PARAMETERS,BOM_PRODUCED,BOM_CONSUMED,ITEM_BOM_ROUTING
Validated Count,17534,17534,11607,17083
Success Count,0,0,11605,12008
Error Count,17534,17534,2,5075
One Time Load,No

Error Details are below:
ERR_LOG_ID,ENG_CHANGE_ID,File name,ROW NUMBER,BOM_ID,Validation_sequence,Validation_description,Validation_ERROR_DETAILS,Remediation message
1,EC9982823,BOM_PARAMETERS,12,BOM1_HRL00603_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL00603_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
2,EC9982823,BOM_PARAMETERS,12,BOM1_HRL00603_1002,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL00603_1002,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
3,EC9982823,BOM_PARAMETERS,13,BOM1_HRL00618_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL00618_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
4,EC9982823,BOM_PARAMETERS,13,BOM1_HRL00618_1002,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL00618_1002,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
5,EC9982823,BOM_PARAMETERS,143,BOM1_HRL01436_1016,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL01436_1016 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
6,EC9982823,BOM_PARAMETERS,143,BOM1_HRL01436_1016,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL01436_1016,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
7,EC9982823,BOM_PARAMETERS,226,BOM1_HRL01760_1003,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL01760_1003 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
8,EC9982823,BOM_PARAMETERS,226,BOM1_HRL01760_1003,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL01760_1003,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
9,EC9982823,BOM_PARAMETERS,273,BOM1_HRL02950_1016,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL02950_1016 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
10,EC9982823,BOM_PARAMETERS,273,BOM1_HRL02950_1016,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL02950_1016,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
11,EC9982823,BOM_PARAMETERS,278,BOM1_HRL03162_1016,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL03162_1016 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
12,EC9982823,BOM_PARAMETERS,278,BOM1_HRL03162_1016,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL03162_1016,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
13,EC9982823,BOM_PARAMETERS,291,BOM1_HRL03398_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL03398_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
14,EC9982823,BOM_PARAMETERS,291,BOM1_HRL03398_1002,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL03398_1002,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
15,EC9982823,BOM_PARAMETERS,340,BOM1_HRL05794_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL05794_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
16,EC9982823,BOM_PARAMETERS,340,BOM1_HRL05794_1002,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL05794_1002,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
17,EC9982823,BOM_PARAMETERS,342,BOM1_HRL05833_1003,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL05833_1003 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
18,EC9982823,BOM_PARAMETERS,342,BOM1_HRL05833_1003,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL05833_1003,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
19,EC9982823,BOM_PARAMETERS,415,BOM1_HRL08975_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL08975_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
20,EC9982823,BOM_PARAMETERS,415,BOM1_HRL08975_1002,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL08975_1002,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
