Report Name,Validation Report for Planning BOM Maintenance Application UI
Report Time,6/23/2026, 07:02:04 CST
Trnx Type,ONETIME,Run By,APPL_TEAM

Summary,BOM_PARAMETERS,BOM_PRODUCED,BOM_CONSUMED,ITEM_BOM_ROUTING
Validated Count,20,4,1000,20
Success Count,0,0,0,0
Error Count,20,4,1000,20
One Time Load,No

Error Details are below:
ERR_LOG_ID,ENG_CHANGE_ID,File name,ROW NUMBER,BOM_ID,Validation_sequence,Validation_description,Validation_ERROR_DETAILS,Remediation message
1,EC6389273,BOM_PARAMETERS,2,PRIMARY_HRL56985_1003,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = PRIMARY_HRL56985_1003 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
2,EC6389273,BOM_PARAMETERS,2,PRIMARY_HRL56985_1003,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = PRIMARY_HRL56985_1003,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
3,EC6389273,BOM_PARAMETERS,3,PRIMARY_HRL57031_1003,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = PRIMARY_HRL57031_1003 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
4,EC6389273,BOM_PARAMETERS,3,PRIMARY_HRL57031_1003,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = PRIMARY_HRL57031_1003,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
5,EC6389273,BOM_PARAMETERS,4,PRIMARY_HRL63789_1013,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = PRIMARY_HRL63789_1013 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
6,EC6389273,BOM_PARAMETERS,4,PRIMARY_HRL63789_1013,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = PRIMARY_HRL63789_1013,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
7,EC6389273,BOM_PARAMETERS,5,PRIMARY_HRL58003_1003,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = PRIMARY_HRL58003_1003 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
8,EC6389273,BOM_PARAMETERS,5,PRIMARY_HRL58003_1003,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = PRIMARY_HRL58003_1003,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
9,EC6389273,BOM_PARAMETERS,6,PRIMARY_HRL58626_1003,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = PRIMARY_HRL58626_1003 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
10,EC6389273,BOM_PARAMETERS,6,PRIMARY_HRL58626_1003,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = PRIMARY_HRL58626_1003,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
11,EC6389273,BOM_PARAMETERS,7,BOM1_HRL01186_1003,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL01186_1003 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
12,EC6389273,BOM_PARAMETERS,7,BOM1_HRL01186_1003,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL01186_1003,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
13,EC6389273,BOM_PARAMETERS,8,BOM1_HRL01573_1003,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL01573_1003 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
14,EC6389273,BOM_PARAMETERS,8,BOM1_HRL01573_1003,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL01573_1003,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
15,EC6389273,BOM_PARAMETERS,9,BOM1_HRL104099_1003,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL104099_1003 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
16,EC6389273,BOM_PARAMETERS,9,BOM1_HRL104099_1003,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL104099_1003,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
