Report Name,Validation Report for Planning BOM Maintenance Application UI
Report Time,7/3/2026, 08:59:24 CST
Trnx Type,ONETIME,Run By,APPL_TEAM

Summary,BOM_PARAMETERS,BOM_PRODUCED,BOM_CONSUMED,ITEM_BOM_ROUTING
Validated Count,17684,17684,12033,17235
Success Count,0,0,12030,11980
Error Count,17684,17684,3,5255
One Time Load,No

Error Details are below:
ERR_LOG_ID,ENG_CHANGE_ID,File name,ROW NUMBER,BOM_ID,Validation_sequence,Validation_description,Validation_ERROR_DETAILS,Remediation message
1,EC3549509,BOM_PARAMETERS,12,BOM1_HRL00603_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL00603_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
2,EC3549509,BOM_PARAMETERS,12,BOM1_HRL00603_1002,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL00603_1002,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
3,EC3549509,BOM_PARAMETERS,13,BOM1_HRL00618_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL00618_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
4,EC3549509,BOM_PARAMETERS,13,BOM1_HRL00618_1002,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL00618_1002,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
5,EC3549509,BOM_PARAMETERS,143,BOM1_HRL01436_1016,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL01436_1016 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
6,EC3549509,BOM_PARAMETERS,143,BOM1_HRL01436_1016,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL01436_1016,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
7,EC3549509,BOM_PARAMETERS,226,BOM1_HRL01760_1003,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL01760_1003 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
8,EC3549509,BOM_PARAMETERS,226,BOM1_HRL01760_1003,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL01760_1003,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
9,EC3549509,BOM_PARAMETERS,271,BOM1_HRL02950_1016,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL02950_1016 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
10,EC3549509,BOM_PARAMETERS,271,BOM1_HRL02950_1016,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM1_HRL02950_1016,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
