Report Name,Validation Report for Planning BOM Maintenance Application UI
Report Time,7/8/2026, 08:15:15 CST
Trnx Type,ONETIME,Run By,APPL_TEAM

Summary,BOM_PARAMETERS,BOM_PRODUCED,BOM_CONSUMED,ITEM_BOM_ROUTING
Validated Count,17684,17684,12033,17235
Success Count,17235,17235,12030,11980
Error Count,449,449,3,5255
One Time Load,No

Error Details are below:
ERR_LOG_ID,ENG_CHANGE_ID,File name,ROW NUMBER,BOM_ID,Validation_sequence,Validation_description,Validation_ERROR_DETAILS,Remediation message
1,EC1696725,BOM_PARAMETERS,12,BOM1_HRL00603_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL00603_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
2,EC1696725,BOM_PARAMETERS,13,BOM1_HRL00618_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL00618_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
3,EC1696725,BOM_PARAMETERS,143,BOM1_HRL01436_1016,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL01436_1016 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
4,EC1696725,BOM_PARAMETERS,226,BOM1_HRL01760_1003,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL01760_1003 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
5,EC1696725,BOM_PARAMETERS,271,BOM1_HRL02950_1016,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL02950_1016 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
6,EC1696725,BOM_PARAMETERS,277,BOM1_HRL03162_1016,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL03162_1016 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
7,EC1696725,BOM_PARAMETERS,290,BOM1_HRL03398_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL03398_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
8,EC1696725,BOM_PARAMETERS,341,BOM1_HRL05794_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL05794_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
9,EC1696725,BOM_PARAMETERS,419,BOM1_HRL08975_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL08975_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
10,EC1696725,BOM_PARAMETERS,420,BOM1_HRL08981_1002,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_HRL08981_1002 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
