Report Name,Validation Report for Planning BOM Maintenance Application UI
Report Time,5/26/2026, 07:36:45 CST
Trnx Type,ONETIME,Run By,APPL_TEAM

Summary,BOM_PARAMETERS,BOM_PRODUCED,BOM_CONSUMED,ITEM_BOM_ROUTING
Validated Count,998,997,1000,998
Success Count,994,991,994,927
Error Count,4,6,6,71
One Time Load,No

Error Details are below:
ERR_LOG_ID,ENG_CHANGE_ID,File name,ROW NUMBER,BOM_ID,Validation_sequence,Validation_description,Validation_ERROR_DETAILS,Remediation message
1,EC6441590,BOM_PARAMETERS,361,BOM2_Item359_Location 23,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM2_Item359_Location 23 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
2,EC6441590,BOM_PARAMETERS,555,BOM1_Item554_Location 18,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_Item554_Location 18 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
3,EC6441590,BOM_PARAMETERS,141,BOM6_Item139_Location 2,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM6_Item139_Location 2,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
4,EC6441590,BOM_PARAMETERS,697,BOM3_Item696_Location 16,1002,Check for any duplicate BOMIDs,There are duplicate values for this BOMID = BOM3_Item696_Location 16,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
5,EC6441590,BOM_PRODUCED,493,BOM5_Item390_Location 16,1005,Check if BOMID exists in both BOM Parameters and Item BOM Routing,This BOMID = BOM5_Item390_Location 16 does not exist in ( bom_parameters.bom_id and/or item_bom_routing.bom_id ),"RM: . Please ADD the missing bom_id records to bom_parameters.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_parameters.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
6,EC6441590,BOM_PRODUCED,424,BOM6_Item335_Location 5,1006,Check for any duplicate BOMIDs (accounting for if there are Co-Products attached),There are duplicate values for this BOMID = BOM6_Item335_Location 5,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
7,EC6441590,BOM_PRODUCED,455,BOM6_Item363_Location 1,1006,Check for any duplicate BOMIDs (accounting for if there are Co-Products attached),There are duplicate values for this BOMID = BOM6_Item363_Location 1,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
8,EC6441590,BOM_PRODUCED,456,BOM6_Item363_Location 1,1006,Check for any duplicate BOMIDs (accounting for if there are Co-Products attached),There are duplicate values for this BOMID = BOM6_Item363_Location 1,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
9,EC6441590,BOM_PRODUCED,493,BOM5_Item390_Location 16,1006,Check for any duplicate BOMIDs (accounting for if there are Co-Products attached),There are duplicate values for this BOMID = BOM5_Item390_Location 16,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
10,EC6441590,BOM_PRODUCED,494,BOM5_Item390_Location 16,1006,Check for any duplicate BOMIDs (accounting for if there are Co-Products attached),There are duplicate values for this BOMID = BOM5_Item390_Location 16,"RM: Please DELETE this extra bom_id record
RS:  Allow users to DELETE the extra bom_id records using DELETE buttons"
